particle_index,score,weeks_evaluated,unique_weeks_evaluated
3,1503928188.7455728,96,13
4,1493415853.5700417,96,13
5,1533619466.4716237,96,13
6,1491294549.6066735,96,13
7,1497555672.8139837,96,13
8,1495325739.118405,96,13
9,1489037945.8697662,96,13
10,1493845019.057888,96,13
11,1495626131.7108085,96,13
12,1494405248.0468905,96,13
13,1508177444.0282516,96,13
14,1492160922.856383,96,13
15,1490353333.2223685,96,13
16,1491252058.2592735,96,13
17,1493581678.677698,96,13
18,1495581131.86988,96,13
19,1496217597.5139453,96,13
20,1487096964.270155,96,13
21,1496722966.3792486,96,13
22,1496725435.9332218,96,13
23,1491478155.081319,96,13
24,1503974122.0364497,96,13
25,1496154524.1086884,96,13
26,1500458191.5307758,96,13
27,1498420387.7671347,96,13
28,1492962385.4510632,96,13
29,1821731092.2427797,96,13
30,1492293859.1636536,96,13
31,1533590197.3225641,96,13
32,1495143699.893541,96,13
33,1497300453.347741,96,13
34,1503123586.6960964,96,13
35,1498866302.7571056,96,13
36,1500358897.3670385,96,13
37,1499196849.637764,96,13
38,1492419487.3607323,96,13
